,nanPerc,nullPerc,mean,stdev,min,25%,50%,75%,95%,97.5%,max
506.0,0.0,27.5,6.8,6.8,0,0,5,11,20,22,39
184.0,0.0,11.7,6.8,6.6,0,2,5,10,20,23,46
246.0,0.0,8.9,6.8,5.2,0,2,6,10,17,18,29
202.0,0.0,6.6,6.9,6.1,0,3,6,10,16,19,96
159.0,0.0,7.1,7.0,4.9,0,3,6,10,16,17,23
311.0,0.0,6.3,7.2,5.9,0,3,6,10,18,20,92
216.0,0.0,10.6,7.2,7.7,0,2,5,10,22,27,124
447.0,0.0,27.3,7.2,7.0,0,0,6,12,20,23,40
316.0,0.0,9.7,7.3,6.2,0,2,6,11,19,21,40
632.0,0.0,73.5,7.3,19.5,0,0,0,1,53,71,150
292.0,0.0,8.0,7.3,5.5,0,3,6,11,17,19,35
370.0,0.0,31.0,7.4,8.6,0,0,4,13,24,29,53
315.0,0.0,8.2,7.5,6.0,0,3,6,11,19,22,37
222.0,0.0,8.9,7.6,6.4,0,2,6,11,19,23,42
339.0,0.0,8.3,7.6,5.9,0,3,6,12,19,21,29
228.0,0.0,8.9,7.7,7.1,0,2,6,12,20,23,81
464.0,0.0,26.8,7.7,7.3,0,0,6,13,21,24,40
42.0,0.0,7.4,7.7,6.6,0,3,6,12,20,23,70
236.0,0.0,8.0,7.7,6.7,0,3,6,11,21,24,43
121.0,0.0,7.9,7.9,7.1,0,2,6,12,21,26,53
272.0,0.0,9.5,7.9,6.9,0,2,6,12,22,25,33
178.0,0.0,9.5,7.9,7.1,0,2,6,13,21,24,47
418.0,0.0,25.2,8.0,6.9,0,0,8,13,20,23,40
596.0,0.0,41.6,8.1,9.5,0,0,4,15,26,30,52
149.0,0.0,6.9,8.1,6.7,0,3,7,12,21,24,40
276.0,0.0,7.2,8.1,6.9,0,3,7,12,20,24,86
424.0,0.0,34.9,8.2,11.0,0,0,3,13,31,38,71
451.0,0.0,27.7,8.2,8.8,0,0,5,14,25,28,61
323.0,0.0,11.8,8.4,8.5,0,2,6,13,25,31,63
394.0,0.0,35.0,8.4,9.1,0,0,6,15,26,29,47
163.0,0.0,7.4,8.5,6.7,0,3,7,13,21,23,76
